,Start date,End date,Biomass [MWh] Calculated resolutions,Hydropower [MWh] Calculated resolutions,Wind offshore [MWh] Calculated resolutions,Wind onshore [MWh] Calculated resolutions,Photovoltaics [MWh] Calculated resolutions,Other renewable [MWh] Calculated resolutions,Nuclear [MWh] Calculated resolutions,Lignite [MWh] Calculated resolutions,Hard coal [MWh] Calculated resolutions,Fossil gas [MWh] Calculated resolutions,Hydro pumped storage [MWh] Calculated resolutions,Other conventional [MWh] Calculated resolutions,Year
1177,2018-03-23,2018-03-24,108519.75,34778.25,41684.5,56714.25,44664.5,5368.25,223702.75,394586.5,377462.25,196575.5,34207.5,29849.25,2018
1178,2018-03-24,2018-03-25,108375.5,32353.5,11687.25,60391.0,144547.75,5371.75,223657.75,380751.0,345206.25,124040.5,14416.0,30228.5,2018
1179,2018-03-25,2018-03-26,102385.0,29464.5,3505.5,32312.0,158680.75,5065.0,213668.5,362525.0,248976.75,98689.75,13095.75,28442.5,2018
1180,2018-03-26,2018-03-27,109795.5,31520.25,7131.75,57527.75,72805.25,5345.75,222008.75,392260.75,370476.75,185054.75,34060.75,29199.75,2018
1181,2018-03-27,2018-03-28,113985.25,32420.75,20384.0,88009.75,112027.0,5286.75,221275.5,379665.75,379591.0,181534.5,29410.25,30174.75,2018
1182,2018-03-28,2018-03-29,114219.25,33153.25,91634.75,334831.0,46284.0,5388.0,221403.25,374161.75,281685.5,140735.75,22470.75,30568.75,2018
1183,2018-03-29,2018-03-30,109794.0,37126.25,31142.25,343676.75,95124.75,5352.5,221330.25,372002.25,256523.25,97678.25,28162.0,29646.75,2018
1184,2018-03-30,2018-03-31,113798.25,38822.0,81847.75,238937.75,145949.75,5235.25,205598.25,315180.0,108328.5,84254.5,16495.5,28905.0,2018
1185,2018-03-31,2018-04-01,112974.25,39403.0,91887.75,224863.75,74109.5,5331.5,219249.5,296541.75,65524.0,90147.25,28380.5,30474.5,2018
1186,2018-04-01,2018-04-02,112628.5,39557.25,29489.0,334114.0,73510.5,5721.75,187511.5,239880.5,64130.0,81869.75,13658.5,30820.75,2018
1187,2018-04-02,2018-04-03,112942.75,38322.0,39235.25,187159.0,151579.0,5563.75,186642.0,300204.5,65260.25,81496.25,21235.75,30519.25,2018
1188,2018-04-03,2018-04-04,111639.25,38045.75,75284.0,346171.75,142941.75,5315.5,185684.25,348417.75,147093.0,99200.5,33993.75,31241.25,2018
1189,2018-04-04,2018-04-05,110447.25,40923.0,51693.5,305878.0,138517.5,4740.75,184660.75,380001.25,175857.25,106760.25,36596.5,30506.5,2018
1190,2018-04-05,2018-04-06,112027.0,44605.5,82853.25,562915.25,98874.25,5002.25,185499.75,349786.25,117312.5,91245.5,26322.75,30480.75,2018
1191,2018-04-06,2018-04-07,112720.0,44084.75,55710.0,254059.75,216115.25,5342.5,185523.25,356360.25,127001.25,45608.25,27662.75,30555.5,2018
1192,2018-04-07,2018-04-08,112478.0,41725.5,73927.5,384574.25,212637.0,4767.0,183389.25,254395.0,40737.0,31497.25,19884.75,29842.5,2018
1193,2018-04-08,2018-04-09,109706.0,42812.0,13443.0,171417.25,197088.5,4767.25,184188.0,289303.0,101627.25,72212.25,13408.75,30766.0,2018
1194,2018-04-09,2018-04-10,106689.5,46101.25,39997.0,98408.0,145757.75,4578.5,183588.5,385350.75,235941.75,119736.75,41249.75,30545.75,2018
1195,2018-04-10,2018-04-11,106111.0,45872.0,100207.0,320466.0,155789.5,4611.25,179624.0,378545.75,164769.5,34032.75,16965.5,29800.25,2018
1196,2018-04-11,2018-04-12,105867.5,46425.75,100830.0,310695.5,150465.75,4604.5,179902.25,379646.75,168511.0,48574.25,27481.75,31208.25,2018
1197,2018-04-12,2018-04-13,107802.25,46128.0,106888.25,375763.25,142465.25,4612.5,182697.75,355928.0,134721.75,86008.0,37762.25,31391.5,2018
1198,2018-04-13,2018-04-14,108344.0,45456.5,50246.0,268065.75,85509.0,4612.25,182716.25,373492.75,213868.5,95330.75,35349.0,31221.5,2018
1199,2018-04-14,2018-04-15,109164.25,44114.75,40130.5,223508.5,156291.25,4063.25,182367.75,358461.5,135572.25,61212.5,24372.5,27931.75,2018
1200,2018-04-15,2018-04-16,108375.75,43362.5,11828.25,52700.25,142177.5,4053.75,180826.5,373385.0,115016.75,58485.5,9676.25,27711.75,2018
1201,2018-04-16,2018-04-17,107560.0,45821.25,23010.75,58693.75,101678.0,4574.5,182326.75,390485.0,313661.5,114227.0,38125.0,29781.75,2018
1202,2018-04-17,2018-04-18,107586.0,48951.25,41869.5,52663.5,195009.25,4646.0,182067.75,396484.75,308699.75,102457.25,26119.75,35280.75,2018
1203,2018-04-18,2018-04-19,106081.5,49162.25,37204.75,66434.5,213960.75,4519.5,181179.0,403452.75,286755.25,93963.5,27258.25,31103.25,2018
1204,2018-04-19,2018-04-20,105528.5,50564.0,43681.75,152047.75,214802.75,4370.0,180065.5,404935.25,215654.0,90729.25,26989.75,33114.75,2018
1205,2018-04-20,2018-04-21,105758.0,52102.5,45249.0,156295.75,212345.0,4393.5,179714.75,379216.25,198022.0,83278.5,30756.0,29280.0,2018
1206,2018-04-21,2018-04-22,108280.25,53641.75,17021.5,74437.5,208750.25,4356.0,158017.25,344319.25,71227.0,51498.0,19859.5,28577.75,2018
1207,2018-04-22,2018-04-23,101694.25,52919.75,41919.75,121535.0,197442.75,4429.5,152182.75,252722.25,51022.25,48384.5,13873.25,29735.25,2018
1208,2018-04-23,2018-04-24,100422.0,54034.75,70171.0,325683.5,139109.25,4396.0,152635.0,333732.0,122265.25,73706.5,30021.75,30346.75,2018
1209,2018-04-24,2018-04-25,101200.5,54198.0,83053.5,297773.75,142092.25,4651.75,153607.5,352115.5,118791.0,71359.25,26333.5,31011.5,2018
1210,2018-04-25,2018-04-26,100972.75,54417.25,56369.0,460703.5,138714.0,4551.25,152784.5,318192.25,85795.25,58951.25,26925.5,31212.25,2018
1211,2018-04-26,2018-04-27,102212.75,54659.0,77331.75,373633.5,137872.25,4841.5,156066.0,365300.5,107109.25,68458.5,32153.75,32310.0,2018
1212,2018-04-27,2018-04-28,103662.5,55387.25,31881.0,135056.0,206520.5,4847.5,154564.25,371517.25,128304.25,78959.75,34324.5,30131.25,2018
1213,2018-04-28,2018-04-29,103497.5,54262.25,25967.5,162031.75,178732.75,4622.25,155127.5,322619.5,65391.75,64689.25,29085.75,29957.0,2018
1214,2018-04-29,2018-04-30,106755.0,54332.75,31822.5,149631.25,188282.5,4004.25,144296.25,261854.25,44858.75,48042.75,16848.75,27975.25,2018
1215,2018-04-30,2018-05-01,110633.75,54759.5,93820.0,523393.25,152013.25,4037.75,141907.75,178440.75,41440.75,59467.75,37454.25,25392.0,2018
1216,2018-05-01,2018-05-02,111828.5,52645.25,54476.75,527945.0,149879.75,4168.5,135055.75,176822.75,42898.75,50599.0,18267.5,23592.5,2018
1217,2018-05-02,2018-05-03,111814.75,53898.5,62537.5,145330.5,160143.0,4868.25,176650.25,329620.25,194411.75,81501.75,29346.25,26701.75,2018
1218,2018-05-03,2018-05-04,110465.75,52849.0,27180.0,161546.75,169955.5,4877.25,154010.5,341984.5,223390.75,84765.0,26136.5,28171.5,2018
1219,2018-05-04,2018-05-05,111494.5,54022.25,4742.25,145579.25,201184.5,4827.25,154433.75,340373.25,208270.0,84336.0,29852.0,28375.25,2018
1220,2018-05-05,2018-05-06,111434.75,54614.5,6649.25,201066.0,223943.75,4766.5,153795.75,317967.0,51430.75,60442.25,21708.5,27667.5,2018
1221,2018-05-06,2018-05-07,110875.75,52355.75,25942.5,204271.25,239474.25,4526.25,155796.5,242238.5,44494.0,52944.25,21402.5,26436.75,2018
1222,2018-05-07,2018-05-08,110006.0,54217.5,35258.25,202961.25,237925.25,4532.0,183479.75,321583.75,101310.0,65586.5,34175.25,21741.25,2018
1223,2018-05-08,2018-05-09,109552.75,56201.25,59562.75,252805.5,238656.75,4396.75,178490.25,335622.5,92076.75,62712.25,30960.5,25882.0,2018
1224,2018-05-09,2018-05-10,108590.0,54257.75,51754.5,177999.0,210975.5,4391.25,182950.25,350163.0,100518.0,73096.5,40171.5,27780.5,2018
1225,2018-05-10,2018-05-11,108860.5,54429.0,42313.5,210060.25,146354.75,4293.25,183153.75,309030.75,40094.5,49577.75,10757.0,28206.5,2018
1226,2018-05-11,2018-05-12,110691.5,55268.5,10378.25,62725.0,163235.75,4632.25,171230.75,336724.75,121699.5,65786.0,34697.75,28438.5,2018
