Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jun 16, 2015;Jun 17, 2015;1,379,174.25;1,150,217.75;9,138.50
Jun 17, 2015;Jun 18, 2015;1,383,312.00;1,069,345.50;11,644.25
Jun 18, 2015;Jun 19, 2015;1,398,559.00;1,091,205.00;15,533.00
Jun 19, 2015;Jun 20, 2015;1,383,682.75;1,056,537.50;14,887.25
Jun 20, 2015;Jun 21, 2015;1,158,266.50;907,683.50;13,421.00
Jun 21, 2015;Jun 22, 2015;1,066,681.50;884,553.25;19,068.75
Jun 22, 2015;Jun 23, 2015;1,364,658.00;1,147,341.50;12,531.25
Jun 23, 2015;Jun 24, 2015;1,403,901.25;1,085,398.75;14,771.00
Jun 24, 2015;Jun 25, 2015;1,418,049.00;1,094,945.50;13,208.00
Jun 25, 2015;Jun 26, 2015;1,400,194.00;1,172,457.50;16,089.50
Jun 26, 2015;Jun 27, 2015;1,374,364.75;1,188,801.50;13,068.00
Jun 27, 2015;Jun 28, 2015;1,177,172.75;905,805.25;19,419.25
Jun 28, 2015;Jun 29, 2015;1,049,237.00;790,577.25;24,063.75
Jun 29, 2015;Jun 30, 2015;1,360,981.75;1,126,300.75;11,371.25
Jun 30, 2015;Jul 1, 2015;1,382,484.25;1,134,592.25;12,679.25
Jul 1, 2015;Jul 2, 2015;1,423,537.00;1,060,784.00;17,002.00
Jul 2, 2015;Jul 3, 2015;1,461,593.75;1,026,694.75;20,569.50
Jul 3, 2015;Jul 4, 2015;1,433,013.25;1,157,042.75;21,041.75
Jul 4, 2015;Jul 5, 2015;1,216,157.25;938,006.50;22,442.75
Jul 5, 2015;Jul 6, 2015;1,106,196.75;845,217.50;22,780.50
Jul 6, 2015;Jul 7, 2015;1,407,216.50;1,026,185.50;20,247.75
Jul 7, 2015;Jul 8, 2015;1,438,257.75;1,153,260.50;17,614.00
Jul 8, 2015;Jul 9, 2015;1,436,067.25;897,288.50;17,282.75
Jul 9, 2015;Jul 10, 2015;1,411,164.25;851,222.75;16,367.75
Jul 10, 2015;Jul 11, 2015;1,376,786.00;937,659.75;23,227.50
Jul 11, 2015;Jul 12, 2015;1,170,569.25;927,337.25;11,714.00
Jul 12, 2015;Jul 13, 2015;1,082,322.50;827,588.75;22,721.00
Jul 13, 2015;Jul 14, 2015;1,386,611.50;1,196,908.25;11,503.00
Jul 14, 2015;Jul 15, 2015;1,422,298.50;1,196,395.25;14,979.50
Jul 15, 2015;Jul 16, 2015;1,419,442.75;1,203,728.25;15,455.00
Jul 16, 2015;Jul 17, 2015;1,422,858.75;1,201,171.00;15,625.75
Jul 17, 2015;Jul 18, 2015;1,411,155.75;1,056,480.50;21,614.00
Jul 18, 2015;Jul 19, 2015;1,173,462.00;869,893.00;19,862.75
Jul 19, 2015;Jul 20, 2015;1,075,339.25;833,377.75;16,828.00
Jul 20, 2015;Jul 21, 2015;1,375,381.75;1,103,359.00;14,214.00
Jul 21, 2015;Jul 22, 2015;1,432,158.75;1,055,281.75;20,458.00
Jul 22, 2015;Jul 23, 2015;1,435,284.00;1,186,764.50;16,799.50
Jul 23, 2015;Jul 24, 2015;1,407,231.00;1,195,041.50;15,439.00
Jul 24, 2015;Jul 25, 2015;1,380,103.75;1,126,230.50;15,181.75
Jul 25, 2015;Jul 26, 2015;1,203,321.00;625,029.50;22,510.75
Jul 26, 2015;Jul 27, 2015;1,056,176.25;605,153.50;20,454.25
Jul 27, 2015;Jul 28, 2015;1,352,494.00;964,868.00;21,972.25
Jul 28, 2015;Jul 29, 2015;1,388,360.75;834,006.75;16,160.75
Jul 29, 2015;Jul 30, 2015;1,378,486.00;867,445.75;19,575.00
Jul 30, 2015;Jul 31, 2015;1,377,652.75;838,947.00;20,454.00
Jul 31, 2015;Aug 1, 2015;1,334,274.00;1,005,932.25;18,441.00
Aug 1, 2015;Aug 2, 2015;1,140,056.50;918,897.00;16,266.50
Aug 2, 2015;Aug 3, 2015;1,040,171.75;815,759.50;20,337.25
Aug 3, 2015;Aug 4, 2015;1,341,428.50;1,012,496.00;18,188.25
Aug 4, 2015;Aug 5, 2015;1,378,695.00;1,071,499.50;20,418.75
Aug 5, 2015;Aug 6, 2015;1,356,978.75;1,097,095.25;17,844.50
Aug 6, 2015;Aug 7, 2015;1,385,305.25;1,095,637.75;22,680.25
